gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
87822312	86403148-f762-11e1-a439-00145eb45e9a		Viruses	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Zucchini yellow mosaic virus		SPECIES	Zucchini yellow mosaic virus	Zucchini yellow mosaic virus		SG			PRESENT		463555b0-d081-11da-ae8f-b8a03c50a862													10238248	10238248	LIVING_SPECIMEN	DSMZ	Plantviruses	DSMZ PV-0382				CC_BY_4_0					2025-02-02T16:37:49.855Z		CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4867689193	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/216500809	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus			GENUS	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus 2		SG		North	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	1.369858	103.807703	16702.0						2024-05-18T09:08:12	18	5	2024	10312030		HUMAN_OBSERVATION	iNaturalist	Observations	216500809		Riley	2024-07-11T10:23:20	CC_BY_4_0	Huey	Huey			2025-03-07T15:12:33.024Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_TAXON_ID_IGNORED
4450004962	040c5662-da76-4782-a48e-cdea1892d14c	ABET947-20	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae				FAMILY	Coronaviridae			SG			PRESENT		b3bf3a83-1f68-4541-a03f-330d30d567f5	1.352825	103.81026							2016-10-01	1	10	2016	7757		MATERIAL_SAMPLE	Mined from GenBank, NCBI						CC_BY_4_0					2025-02-25T04:31:11.595Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_NONE
4430567633	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/187351285	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus			GENUS	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus 2		SG		North	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	1.368805	103.79555	8424.0						2023-08-02T19:04	2	8	2023	10312030		HUMAN_OBSERVATION	iNaturalist	Observations	187351285		simono	2023-10-13T11:03:15	CC_BY_NC_4_0	simono	simono			2025-03-07T14:47:51.030Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_TAXON_ID_IGNORED
4153263913	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	ON292502	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Orthoavulavirus	Avian orthoavulavirus 1		SPECIES	Avian orthoavulavirus 1	Avian orthoavulavirus 1		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													10893528	10893528	MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:39.836Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153260329	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	OM645190	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus			GENUS	Orthonairovirus	Cencurut virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.27	103.84							2012-09-24	24	9	2012	10336774		MATERIAL_SAMPLE							CC_BY_4_0		Duke-NUS Medical School			2025-03-15T12:22:37.487Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153260207	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	ON453887	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Chikungunya virus		SPECIES	Chikungunya virus	Chikungunya virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2008			2008	10445893	10445893	MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:40.510Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153259340	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	OM645184	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus			GENUS	Orthonairovirus	Cencurut virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.31	103.8							2012-12-11	11	12	2012	10336774		MATERIAL_SAMPLE							CC_BY_4_0		Duke-NUS Medical School			2025-03-15T12:22:37.617Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153258322	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	OM645188	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus			GENUS	Orthonairovirus	Cencurut virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.31	103.8							2012-12-11	11	12	2012	10336774		MATERIAL_SAMPLE							CC_BY_4_0		Duke-NUS Medical School			2025-03-15T12:22:37.524Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153255319	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK603149	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Rotavirus			GENUS	Rotavirus	Rotavirus sp.		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.34	103.78							2013/2014				9860749		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:01.836Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
